Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2017-02-17,104.22198486328125,104.77443362098936,103.80289207032942,104.05053549940492,2850900
2017-02-21,104.9268569946289,105.0030510748664,104.1458040862906,104.25057912194767,3117200
2017-02-22,104.24104309082031,105.16496429686742,103.9743456843241,104.58394183258955,3049300
2017-02-23,105.47929382324219,105.48882080795111,104.39345010914921,104.61252715569364,4162200
2017-02-24,105.72692108154297,105.72692108154297,104.96492234714484,105.28877435269952,2471700
2017-02-27,105.31734466552734,105.71739071816177,104.54582624016692,105.15542230140746,2361200
2017-02-28,105.21258544921875,105.60311184512416,104.76491168492106,105.25068611713337,3367200
2017-03-01,106.9747085571289,107.5557310745409,105.5173924048188,106.1269886088314,3218700
2017-03-02,106.04124450683594,106.95563861416188,106.01267082644425,106.86991030602843,2690800
2017-03-03,106.43175506591797,106.52700308192023,105.68881036735934,106.00313536042886,2938200
2017-03-06,106.06980895996094,106.47938196618163,105.73643727279473,105.86025896603996,2175800
2017-03-07,105.68881225585938,106.39365630722004,105.47926225673535,106.07933857549195,2474200
2017-03-08,105.70787048339844,106.15553691136104,105.52689415559004,106.0031415302789,2355400
2017-03-09,105.52690887451172,106.07935765027646,105.39356017235599,105.80313326239408,3195400
2017-03-10,105.92694854736328,106.25080056647136,105.35545310612652,106.15554527046623,2735400
2017-03-13,106.23175048828125,106.48892816977303,105.85075109119359,106.00315375681228,3123000
2017-03-14,105.24115753173828,106.17460571404203,104.8982587926846,106.04125701184996,2891400
2017-03-15,106.69845581054688,107.07945515362964,105.24114004519149,105.78406174732307,3305500
2017-03-16,107.31758880615234,107.60334015675465,106.27937294841746,106.78419403645066,2746400
2017-03-17,107.46997833251953,108.10814803499987,107.4033039944538,107.48902502898495,4119200
2017-03-20,107.06996154785156,107.62240309972977,106.53655943068115,107.4604807011958,2435400
2017-03-21,105.45072174072266,107.41285913693102,105.18402430049552,107.06996761875344,3734000
2017-03-22,106.15552520751953,106.59367913884924,105.52688252105754,105.71737854314725,2576200
2017-03-23,106.29840850830078,107.10802756088982,105.9840835089678,106.02218416951949,3107000
2017-03-24,106.66036224365234,107.12708262301942,106.36508393808874,106.65083526167726,3221900
2017-03-27,106.62227630615234,106.96517503502614,105.08875900951094,105.44117745471637,2724200
2017-03-28,107.12709045410156,107.3937878332357,106.17459566178906,106.4984404030352,2986100
2017-03-29,106.73654174804688,106.9937193576092,106.22219379587929,106.70796807297485,1783800
2017-03-30,107.31758880615234,107.34616248782083,106.26984596554173,106.67941902569373,2029400
2017-03-31,107.12709045410156,107.80336088460842,107.09851677304556,107.26996612634015,2507700
2017-04-03,106.90802764892578,107.60335213709611,106.06983473650631,107.34617443952864,3170100
2017-04-04,106.7651138305664,107.48901174507361,106.5841448021573,106.89846975717506,2169700
2017-04-05,106.95601654052734,108.01536555421562,106.79377573550293,107.12780306386192,2486600
2017-04-06,107.29959869384766,107.47138523176197,106.6124525421904,106.95602561801903,2238500
2017-04-07,107.11827850341797,107.60500829587913,106.73652978935532,107.06101874474646,1995100
2017-04-10,107.19461822509766,107.91039425685746,107.16598834882731,107.16598834882731,1862800
2017-04-11,106.99420166015625,107.43321008527091,106.38340669640974,106.79378524529415,2045800
2017-04-12,106.38338470458984,107.17551176237806,106.26885794209375,106.55517120770959,2651200
2017-04-13,106.14481353759766,107.0705516923605,105.94439712490419,106.15435925665454,2690300
2017-04-17,107.52862548828125,107.59543094751061,106.4406467058323,106.66969295444024,1731200
2017-04-18,107.38549041748047,108.00583110990013,106.98465758160947,107.35686054081117,2141000
2017-04-19,107.1659927368164,107.99629558890524,106.99420619091012,107.3568634406009,2242400
2017-04-20,109.36103057861328,109.6568896232645,107.52864568311364,107.74815353680647,3459600
2017-04-21,109.05561065673828,110.33446735777768,108.8074802590543,109.56143173182215,4067400
2017-04-24,110.42036437988281,110.69713194779686,109.75230975474496,110.51580699597335,3207800
2017-04-25,110.83074951171875,111.16478412554606,110.60170323812982,111.040711629696,2873700
2017-04-26,110.86892700195312,111.24112993337486,110.65896488038192,110.75440750382329,2202700
2017-04-27,111.75647735595703,111.95689373712229,110.82120091051918,111.19340380143309,3350800
2017-04-28,111.01207733154297,112.01416657058962,110.7734853490318,111.46063142366386,3536000
2017-05-01,111.05980682373047,111.9378236365663,110.91665016742571,111.22204763629253,3556600
2017-05-02,112.72992706298828,114.24736836872017,112.28137303236359,112.4531595274699,6802600
2017-05-03,111.97600555419922,113.12124430681487,111.23159963687401,112.7776712247801,3640900
2017-05-04,112.53907012939453,112.69177250075387,111.56561799635314,112.18595863781326,2560400
2017-05-05,112.13822174072266,112.97806282272275,111.85190847484256,112.87308177731664,2335900
2017-05-08,111.28883361816406,112.33863677849291,111.07887152984854,112.33863677849291,2562400
2017-05-09,111.0979995727539,111.57518364662107,110.7448807368418,111.30795444900451,2350700
2017-05-10,111.32701110839844,111.44153059034738,110.7162162671746,110.81165159588167,1812500
2017-05-11,111.21248626708984,111.5465135639614,110.49671036754408,111.26020757289248,2239000
2017-05-12,111.78514099121094,111.87103791265432,110.84986426327998,111.02165082491545,3195200
2017-05-15,112.81582641601562,113.14985371834307,111.74693176731873,112.00461517286354,2998200
2017-05-16,113.08306884765625,113.15942003958975,112.32911721012647,112.86356827241049,2375700
2017-05-17,111.47020721435547,112.52955648499821,111.3270505299778,111.93784558748784,4195000
2017-05-18,110.93575286865234,111.32704730921414,110.27724378956844,110.63990106908206,5088400
2017-05-19,112.21458435058594,112.51043608256053,111.19341094405311,111.5846980139631,4360500
2017-05-22,113.56978607177734,113.66522141054573,112.21458533001739,112.4245474440576,2578200
2017-05-23,114.14241790771484,114.45736111332621,113.54116865438893,113.6079741269807,2857100
2017-05-24,115.19224548339844,115.21133692600242,114.07563637238025,114.14244185899025,2509000
2017-05-25,116.3565444946289,116.89099552441886,115.4308063721579,115.4976118407254,4689200
2017-05-26,116.07975769042969,116.50922758692914,115.78390599020139,116.34698680172322,2141600
2017-05-30,116.09886932373047,116.23248026199863,115.50715853907857,115.75529625925518,3405500
2017-05-31,117.27273559570312,117.3681782193822,115.62168305605358,116.33745904614729,4708500
2017-06-01,117.76898193359375,117.76898193359375,116.53784666101275,117.19636273922418,3279000
2017-06-02,119.48688507080078,119.58232770728974,117.72130551451815,117.75948111286355,3731900
2017-06-05,120.15493774414062,120.43170534961018,119.53459706162266,119.81136466709222,4617400
2017-06-06,119.52505493164062,120.1931169487403,119.27692447618267,119.81136826486198,2712100
2017-06-07,119.47734069824219,120.13584971355536,119.07650057614879,119.75410831156242,3219700
2017-06-08,119.06694793701172,119.6777428448523,118.39888600070195,119.29599420713953,3332400
2017-06-09,117.42543029785156,119.23873081055295,116.15611921083566,119.21963937456431,3556700
2017-06-12,115.2494888305664,116.51879281514263,114.7150377663365,116.4138190274149,6574200
2017-06-13,116.73829650878906,117.11049945598178,115.56442063446958,115.7075772944476,3938200
2017-06-14,116.91006469726562,117.53995098981778,116.20383450845637,117.24409199729372,2940000
2017-06-15,115.87936401367188,116.07978042545838,114.41918209833429,115.54533666069435,3492600
2017-06-16,116.39472198486328,116.62376826921975,115.21130768756314,115.94616785377974,3804900
2017-06-19,117.47314453125,117.50178168528315,116.68102468631903,117.03413615898421,2547100
2017-06-20,117.32046508789062,118.12213075769299,117.07232735527305,117.28228949200711,3015300
2017-06-21,117.48269653320312,117.90262077315725,116.85281745452177,117.90262077315725,2384100
2017-06-22,117.673583984375,117.88353884002905,116.70967021097286,117.2632054298573,2160600
2017-06-23,118.35118865966797,119.2960110282616,117.5018016436468,118.03624544305319,3381500
2017-06-26,117.8835220336914,118.89515697807316,117.56858615448468,118.50386263667328,2376700
2017-06-27,117.13912963867188,117.87399709723452,117.13912963867188,117.85490565918732,2516400
2017-06-28,119.11466217041016,119.17192919897764,116.97687998929852,117.5685907428315,2574900
2017-06-29,115.96524047851562,118.99058484124596,115.66938149125016,118.92377938242775,4147400
2017-06-30,115.90799713134766,116.83373530781361,115.67895083736394,116.22294033635677,3574000
2017-07-03,115.26854705810547,116.72872869473963,115.21128731745277,116.67146895408695,2314200
2017-07-05,116.62625885009766,116.79835887966644,115.80400396377327,115.82312294726412,3856500
2017-07-06,115.49803161621094,116.33940535817929,115.35461373093969,116.01432433192872,2702600
2017-07-07,116.83660125732422,117.33378238130868,115.75619993312954,116.06215474229765,2119000
2017-07-10,117.34334564208984,117.7831552248154,116.47328232148588,116.79836340974099,2886900
2017-07-11,118.7774887084961,119.23641719249596,117.12341603167707,117.41980764819935,3885700
2017-07-12,119.78140258789062,120.23077524100678,119.13124780574029,119.51369308251171,2770400
2017-07-13,119.96307373046875,120.85225595804295,119.86746422853831,120.10649163063312,3330900
2017-07-14,121.43549346923828,121.93266729721277,120.04913004544191,120.04913004544191,2690800
2017-07-17,121.8370361328125,121.98045401937546,120.9860992456188,121.67449926549162,2291700
2017-07-18,122.1238784790039,122.53500588552622,121.42591528391733,121.53108792008842,3732800
2017-07-19,122.4202651977539,122.64018090707265,121.96133668056939,122.12388085433712,2550400
2017-07-20,122.83139038085938,123.18514623239233,122.32465350577088,122.7644557121513,2350300
2017-07-21,123.5962905883789,124.48546550291404,122.6879893971332,122.88876424083327,4375500
2017-07-24,123.8353042602539,124.19861594303994,122.95568528702906,123.71100535902364,3065400
2017-07-25,124.27513122558594,124.4663502423923,123.54849312609146,124.29425750398933,2476000
2017-07-26,125.24078369140625,125.42243223438261,124.06475854890166,124.2177395642137,3547800
2017-07-27,123.27119445800781,126.39767669990721,120.99566370164763,126.20645771209753,4914500
2017-07-28,122.29597473144531,124.28468432482465,121.72230317196278,123.29989266600286,5257900
2017-07-31,122.19081115722656,122.81227656851068,121.80836585406426,122.38203016153899,3347500
2017-08-01,123.80660247802734,124.27508671304102,122.86004898861772,123.01302998289879,4010500
2017-08-02,124.87747955322266,124.87747955322266,123.51023519386464,124.04566884232541,3578600
2017-08-03,124.18904876708984,124.8392107421856,123.56758349579782,124.67665930660797,2568100
2017-08-04,124.12213897705078,124.53325904831331,123.75881270825299,124.50457693120535,2208100
2017-08-07,124.65753173828125,124.77226018259051,123.86395929064614,124.2846497052064,1585600
2017-08-08,124.14125061035156,124.59062323028478,123.62495791355211,124.41853052770922,2062800
2017-08-09,124.02652740478516,124.32291902006837,123.1182262837024,123.42417374206546,1789900
2017-08-10,122.06649780273438,123.73013358055427,121.99000729224083,123.50066204907365,2590400
2017-08-11,122.90789794921875,123.73970867299249,122.24817995902217,122.53501577072616,2484300
2017-08-14,125.33641052246094,125.52762953465398,123.33814485525393,123.55804598982216,2793300
2017-08-15,125.80488586425781,126.19689424849409,125.2025322294105,125.65190484761838,2155600
2017-08-16,126.56022644042969,126.80882428003142,126.02480738447998,126.36900743317267,2000700
2017-08-17,125.13563537597656,126.6845283369506,125.07827113135907,126.35945455806787,2673000
2017-08-18,125.38420104980469,126.17777369690721,124.6384367962044,124.82965578114002,3167300
2017-08-21,126.14907836914062,126.292488945557,125.37463207834847,125.58497731647373,1807600
2017-08-22,127.92744445800781,128.348134940822,126.47415404166932,126.69405512529598,2180100
2017-08-23,127.2294921875,127.62148597637923,126.84703965203278,127.33465022204693,2006400
2017-08-24,127.124267578125,127.60232211016071,126.1872701912071,127.38240652129639,2046600
2017-08-25,126.92356872558594,127.73626784495869,126.74190553967365,127.44943200346967,2215500
2017-08-28,127.97526550292969,128.1186760957657,126.88530123015552,127.30597716549896,2154700
2017-08-29,127.9656982421875,128.31946869507334,126.91398649415305,127.2581865145636,2122000
2017-08-30,127.92744445800781,128.348134940822,127.62148243811673,128.0517287631505,3224500
2017-08-31,127.44941711425781,128.5967457571009,127.4302908366391,128.30990994912133,4374700
2017-09-01,127.39205169677734,128.02307296162837,127.29643489864002,127.96570871837602,2446600
2017-09-05,126.83749389648438,127.09563296574709,125.90049605187792,127.00958660932619,2726500
2017-09-06,127.05738830566406,127.7935966907377,126.77055254364173,127.15300508936247,3652100
2017-09-07,130.53765869140625,132.55505078087646,129.69627747067508,130.10741223592382,7269000
2017-09-08,131.1973114013672,131.6944922923247,130.08822117887323,130.24120215902465,4451300
2017-09-11,135.7580108642578,135.7580108642578,133.0713305640072,133.24343788277358,5457600
2017-09-12,136.1691131591797,137.22083944419003,135.58588578095996,136.39858469111098,3775000
2017-09-13,133.95098876953125,135.89189049573704,133.4155550268902,135.78671783421015,3613800
2017-09-14,135.2607879638672,135.57630579317956,133.25295253699588,133.37725141828972,4179400
2017-09-15,135.36593627929688,136.42721802776109,133.67361898546085,136.07346230796233,6152500
2017-09-18,135.19390869140625,135.47118868033326,134.34297162342006,135.44250655583411,2843500
2017-09-19,136.23602294921875,137.28773445310586,135.64322524724696,135.70058947248637,4179000
2017-09-20,135.9970703125,136.7906432386686,135.2130532327629,136.00662615893148,2749700
2017-09-21,135.4998321533203,135.93963432957054,134.99309531294764,135.4711500370028,2835300
2017-09-22,135.6624298095703,136.15004059457638,135.28954754125297,135.28954754125297,1860400
2017-09-25,132.4881134033203,135.86317910199497,132.363814487634,135.8344969813096,5541200
2017-09-26,132.29685974121094,133.26253962135385,131.70407655155103,132.91833963627693,3162600
2017-09-27,133.53988647460938,134.02749733906407,132.46904790682746,132.70807541492746,3716800
2017-09-28,134.0465850830078,134.05615551759212,132.7462752292513,133.31994691937925,2732000
2017-09-29,135.002685546875,135.5189929502628,134.2569211544936,134.64892962945913,2603200
2017-10-02,135.59542846679688,136.65669578850066,135.26078437484097,135.67190437271861,2300700
2017-10-03,136.7427978515625,136.89576429849495,135.4807261881163,135.75800613951338,2514500
2017-10-04,135.8536376953125,136.72370111286392,135.1174436549946,136.4655473824643,3245700
